video_url,duration,description,hours,id
https://www.youtube.com/watch?v=2lX22yUxQ3w,3:22:55,"中国在新疆建设最好的高速公路 - 阿乌高速, 放松3小时驾车沉浸在广袤无际的戈壁沙漠中 - 4K HDR",3.3819444444444446,2lX22yUxQ3w
https://www.youtube.com/watch?v=kgW6OWljuKI,2:08:41,云南大理投资最大的旅游项目 - 洱海生态廊道风光骑行全记录 - 4K HDR,2.144722222222222,kgW6OWljuKI
https://www.youtube.com/watch?v=QyEkWMPhBuA,59:42,最美川西高原山路，国道318甘孜段风光驾车｜拉纳山隧道至海子山姊妹湖｜4K HDR｜川西自驾｜山路行车｜第一人称视角驾车,0.995,QyEkWMPhBuA
https://www.youtube.com/watch?v=4QaczZQQ-qo,1:35:48,新疆至西藏驾车全记录 - 30里营房至大红柳滩，219国道新藏线｜白噪音放松｜4K HDR 杜比视界,1.596666666666667,4QaczZQQ-qo
https://www.youtube.com/watch?v=a5QUMEQF_yA,6:56:54,7小时雨中放松的驾车之旅-汉中至西安，行驶在陕西最漂亮的山间乡村公路｜4K中国国道行车全记录,6.948333333333333,a5QUMEQF_yA
https://www.youtube.com/watch?v=NdD8Mz7S2fY,6:49:25,7小时4K雨中长途拉力驾车之旅 - 成都至陕西汉中｜途径京昆与兰海高速公路，以及风光如画的乡村公路,6.823611111111111,NdD8Mz7S2fY
https://www.youtube.com/watch?v=vRCC8o-yiHU,1:11:47,黄龙溪古镇—黄龙召唤，非遗贺春｜2023春节元宵火龙灯舞，4K超清街景云游,1.196388888888889,vRCC8o-yiHU
https://www.youtube.com/watch?v=h0JoMutbxho,21:33,成都锦门·沉浸式民国街道—梦回民国老上海｜4K超清街景云游,0.3591666666666666,h0JoMutbxho
https://www.youtube.com/watch?v=RIxfjEKG2Dw,30:29,4K超清竹林散步｜在雨後的竹林中，感受大自然泥土的芬芳與放鬆的氣息,0.5080555555555556,RIxfjEKG2Dw
https://www.youtube.com/watch?v=Lm8ks6pPDIk,10:00:02,10小时放松解压 - 纳木错湖边の浪 - 舒缓萨克斯钢琴曲,10.000555555555556,Lm8ks6pPDIk
https://www.youtube.com/watch?v=Qo7EqSflQg4,2:07:46,电影级FPV无人机合集 - 2小时飞行梦幻 - 4K,2.1294444444444447,Qo7EqSflQg4
https://www.youtube.com/watch?v=-vDREgpqbL4,54:44,在墨西哥坎佩切州坎佩切州海岸驾驶 I 4K 60fps,0.9122222222222224,-vDREgpqbL4
https://www.youtube.com/watch?v=7ZfqlCKwHRA,8:02:24,Through the Darkest Tunnel of My Life. Relaxing Sound for Sleep Study Meditation. White Noise ASMR.,8.04,7ZfqlCKwHRA
https://www.youtube.com/watch?v=HCfXwR49nTQ,8:01:38,Not everything in life goes the way I want. Relaxing Sound for Sleep Study Meditation. White Noise,8.027222222222223,HCfXwR49nTQ
https://www.youtube.com/watch?v=kV9E6ZLJ1o8,8:12:26,Burdened by Tears Under the Heavy Rain. Relaxing Sound for Sleep Study Meditation. White Noise ASMR.,8.20722222222222,kV9E6ZLJ1o8
https://www.youtube.com/watch?v=648r0gFSGO4,8:05:50,When Heavy Rain and Poverty Collide. Wet Journey with Relaxing Sound. Sleep Meditation. White Noise.,8.097222222222223,648r0gFSGO4
https://www.youtube.com/watch?v=dFJP_eDOeQQ,8:10:02,"Harsh Life, Heavy Rain, Devastating Walk. Relaxing Sound for Sleep Study Meditation. White Noise",8.167222222222222,dFJP_eDOeQQ
https://www.youtube.com/watch?v=GeRKg0pGuRk,8:00:30,"Harsh Rain, Shallow Pockets, Lonely Walk. Relaxing Sound for Sleep Study Meditation. White Noise.",8.008333333333333,GeRKg0pGuRk
https://www.youtube.com/watch?v=TNBRJRsf6Tg,8:01:39,Walk in the Heavy Rain to Forget my Painful Life.  Relaxing Sound for Sleep Study Meditation. ASMR.,8.027500000000002,TNBRJRsf6Tg
https://www.youtube.com/watch?v=rXKjLOvk_tA,8:03:16,I Walk in the Heavy Rain to Forget My Poverty. Relaxing Sound for Sleep Study Meditation. ASMR.,8.054444444444446,rXKjLOvk_tA
https://www.youtube.com/watch?v=Phw2fWMJUB4,8:02:34,"Bitter Rain, Empty Pockets, Lonely Steps. Relaxing Sound for Sleep Study Meditation. White Noise",8.042777777777777,Phw2fWMJUB4
https://www.youtube.com/watch?v=62lj9vGUdHw,8:00:53,I will Walk through Heavy Rain to End my Poverty. Relaxing Sound for Sleep Study Meditation. ASMR.,8.014722222222222,62lj9vGUdHw
https://www.youtube.com/watch?v=ZfoLlUXlV5c,8:00:03,"Heavy Rain Walk, Good bye Gloomy 2024, Wish Better Next Year. Relaxing Sound for Sleep Study. ASMR.",8.000833333333333,ZfoLlUXlV5c
https://www.youtube.com/watch?v=DXQV-MwH55o,8:10:02,"Harsh Rain, Painful Pockets, Worrisome Steps. Relaxing Sound for Sleep Study Meditation. White Noise",8.167222222222222,DXQV-MwH55o
https://www.youtube.com/watch?v=nxMcV0TjN_Y,8:00:43,Penniless Walk in the Heavy Rain. Relaxing Sound for Sleep Study Meditation. White Noise ASMR.,8.011944444444444,nxMcV0TjN_Y
https://www.youtube.com/watch?v=x18r13YHDOA,8:01:28,I Make Rain Walk Videos to Cancel My Tinnitus.  Sound for Sleep Study Meditation. White Noise ASMR.,8.024444444444445,x18r13YHDOA
https://www.youtube.com/watch?v=ZhiMx0Z22s4,8:00:53,I Walk in the Heavy Rain cause I Need Money. Relaxing Sound for Sleep Study Meditation. White Noise,8.014722222222222,ZhiMx0Z22s4
https://www.youtube.com/watch?v=IOIj8RqBcIY,8:05:52,Heavy Rain Walk with No Reason.Relaxing Sound for Sleep Study Meditation. White Noise ASMR.,8.097777777777779,IOIj8RqBcIY
